day;region;team;elo
77;LEC;Schalke 04;2480.1
77;LEC;Fnatic;2700.4
77;LEC;Origen;2703.9
78;LEC;G2 Esports;2732.4
78;LEC;MAD Lions;2623.6
78;LEC;SK Gaming;2410.5
78;LEC;Team Vitality;2411.0
78;LEC;Rogue;2674.5
78;LEC;Misfits Gaming;2664.7
78;LEC;Excel Esports;2598.9
78;LEC;Schalke 04;2480.1
78;LEC;Fnatic;2700.4
78;LEC;Origen;2703.9
79;LEC;G2 Esports;2732.4
79;LEC;MAD Lions;2623.6
79;LEC;SK Gaming;2410.5
79;LEC;Team Vitality;2411.0
79;LEC;Rogue;2674.5
79;LEC;Misfits Gaming;2664.7
79;LEC;Excel Esports;2598.9
79;LEC;Schalke 04;2480.1
79;LEC;Fnatic;2700.4
79;LEC;Origen;2703.9
80;LEC;G2 Esports;2753.3
80;LEC;MAD Lions;2634.9
80;LEC;SK Gaming;2399.2
80;LEC;Team Vitality;2403.2
80;LEC;Rogue;2653.6
80;LEC;Misfits Gaming;2627.5
80;LEC;Excel Esports;2581.0
80;LEC;Schalke 04;2517.3
80;LEC;Fnatic;2718.3
80;LEC;Origen;2711.7
81;LEC;G2 Esports;2766.8
81;LEC;MAD Lions;2659.4
81;LEC;SK Gaming;2392.1
81;LEC;Team Vitality;2386.1
81;LEC;Rogue;2633.2
81;LEC;Misfits Gaming;2603.0
81;LEC;Excel Esports;2567.5
81;LEC;Schalke 04;2534.4
81;LEC;Fnatic;2738.7
81;LEC;Origen;2718.8
82;LEC;G2 Esports;2766.8
82;LEC;MAD Lions;2659.4
82;LEC;SK Gaming;2392.1
82;LEC;Team Vitality;2386.1
82;LEC;Rogue;2633.2
82;LEC;Misfits Gaming;2603.0
82;LEC;Excel Esports;2567.5
82;LEC;Schalke 04;2534.4
82;LEC;Fnatic;2738.7
82;LEC;Origen;2718.8
83;LEC;G2 Esports;2766.8
83;LEC;MAD Lions;2659.4
83;LEC;SK Gaming;2392.1
83;LEC;Team Vitality;2386.1
83;LEC;Rogue;2633.2
83;LEC;Misfits Gaming;2603.0
